id,name,price,category,description,image,badge
1,Boho Rattan Lamp,89,Lighting,Handwoven rattan table lamp with warm glow,product1.jpeg,New
2,Amber Wire Tree,149,Decor,Handcrafted wire tree with amber gemstones,product2.jpeg,New
3,Ethnic Pillow Cover,45,Textiles,Linen pillow with tribal embroidery,product3.jpeg,Best Seller
4,Crystal Wire Ring,65,Jewelry,Artisan wrapped crystal ring,product4.jpeg,New
5,Cerulean Vase,95,Decor,Minimalist blue ceramic vase,product5.jpeg,Best Seller
6,Necklace Cage,200,Lighting,Handwoven rattan table lamp with warm glow,product6.jpeg,New
7,Pendant Salumi,199,Decor,Handwoven rattan table lamp with warm glow,product7.jpeg,Best Seller
8,Manage a du moucile ,99,Textiles,Handwoven rattan table lamp with warm glow,product8.jpeg,New
9,Botanical printed textile dress,99,Jewelry,Handwoven rattan table lamp with warm glow,product9.jpeg,Best Seller
10,Jontaravolat Maximu,22,Jewelry,Handwoven rattan table lamp with warm glow,product10.jpeg,New
11,Marcuis Auriliuos,120,Jewelry,Handcrafted wire tree with amber gemstones,product11.jpeg,New
12,Cleaopatra Alssandro,145,Jewelry,Linen pillow with tribal embroidery,product13.jpeg,Best Seller
13,Marco Antonio III,130,Jewelry,Artisan wrapped crystal ring,product14.jpeg,New
14,Marco Antonio III 1,145,Jewelry,Minimalist blue ceramic vase,product15.jpeg,Best Seller
15,Marco Antonio III 2,100,Jewelry,Handwoven rattan table lamp with warm glow,product16.jpeg,New
