id,name,price,category,description,image,badge
1,Boho Rattan Lamp,89.99,Lighting,Handwoven rattan table lamp with warm glow,product1.jpeg,New
2,Amber Wire Tree,149,Decor,Handcrafted wire tree with amber gemstones,product2.jpeg,New
3,Ethnic Pillow Cover,45.5,Textiles,Linen pillow with tribal embroidery,product3.jpeg,Best Seller
4,Crystal Wire Ring,65,Jewelry,Artisan wrapped crystal ring,product4.jpeg,Best Seller
5,Cerulean Vase,95,Decor,Minimalist blue ceramic vase,product6.jpeg,Best Seller
6,Necklace Cage,1,Lighting,Handwoven rattan table lamp with warm glow,product7.jpeg,Best Seller
7,Pendant Salumi,1,Decor,Handwoven rattan table lamp with warm glow,product8.jpeg,Best Seller
8,Manage a du moucile ,1,Textiles,Handwoven rattan table lamp with warm glow,product9.jpeg,Best Seller
9,Botanical printed textile dress,1,Jewelry,Handwoven rattan table lamp with warm glow,product10.jpeg,Best Seller
,,,Decor,Handwoven rattan table lamp with warm glow,product11.jpeg,Best Seller
,,,,,product12.jpeg,Best Seller
,,,,,product13.jpeg,Best Seller
,,,,,product14.jpeg,Best Seller
,,,,,product15.jpeg,Best Seller
,,,,,product16.jpeg,Best Seller
,,,,,product17.jpeg,Best Seller
,,,,,product18.jpeg,Best Seller
,,,,,product19.jpeg,Best Seller
,,,,,product120.jpeg,
