id,name,price,category,description,image,badge
1,Boho Rattan Lamp,89.99,Lighting,Handwoven rattan table lamp with warm glow,product1.jpeg,New
2,Amber Wire Tree,149,Decor,Handcrafted wire tree with amber gemstones,product2.jpeg,
3,Ethnic Pillow Cover,45.5,Textiles,Linen pillow with tribal embroidery,product3.jpeg,Best Seller
4,Crystal Wire Ring,65,Jewelry,Artisan wrapped crystal ring,product4.jpeg,
5,Cerulean Vase,95,Decor,Minimalist blue ceramic vase,product6.jpeg,
6,Necklace Cage,1,Lighting,Handwoven rattan table lamp with warm glow,product7.jpeg,
7,Pendant Salumi,1,Decor,Handwoven rattan table lamp with warm glow,product8.jpeg,
8,Manage a du moucile ,1,Textiles,Handwoven rattan table lamp with warm glow,product9.jpeg,
9,Botanical printed textile dress,1,Jewelry,Handwoven rattan table lamp with warm glow,product10.jpeg,
,,,Decor,Handwoven rattan table lamp with warm glow,product11.jpeg,
,,,,,product12.jpeg,
,,,,,product13.jpeg,
,,,,,product14.jpeg,
,,,,,product15.jpeg,
,,,,,product16.jpeg,
,,,,,product17.jpeg,
,,,,,product18.jpeg,
,,,,,product19.jpeg,
,,,,,product120.jpeg,
